PDB,Initial R,Final R,Initial R-free,Final R-free,Initial RMSD(bonds),Final RMSD(bonds),Initial RMSD(angles),Final RMSD(angles),Resolution
1ikk,0.1724,0.157,0.2311,0.2077,0.0326,0.0152,2.2806,1.7141,1.6
1j6s,0.1936,0.1965,0.2029,0.2183,0.0716,0.0296,2.4828,1.8434,1.4
1jes,0.1824,0.169,0.2011,0.1922,0.0146,0.0111,1.7696,2.0292,1.5
1jrn,0.2269,0.2281,0.2776,0.2696,0.0657,0.0325,1.4985,1.1306,2.0
1jzv,0.2068,0.1913,0.2331,0.226,0.0214,0.0158,1.6836,2.2126,1.7
1kd3,0.2171,0.2071,0.24,0.2296,0.0078,0.0104,0.7955,1.2448,1.8
1kd4,0.2017,0.1928,0.2191,0.2154,0.0128,0.0102,0.904,1.5089,1.85
1kd5,0.2105,0.1995,0.249,0.2441,0.0139,0.0171,1.8653,1.5833,1.58
1kgk,0.1638,0.1503,0.1657,0.1692,0.035,0.0168,2.619,1.9191,1.0
1kh6,0.2797,0.2325,0.2665,0.2568,0.0242,0.0101,1.6584,2.2097,2.9
1l1h,0.1647,0.1526,0.2173,0.199,0.0322,0.0165,2.0375,1.6565,1.75
1l2x,0.2515,0.2359,0.2514,0.2512,0.0388,0.0141,1.4518,1.5248,1.25
1l3d,0.2435,0.2173,0.2652,0.2418,0.0114,0.0093,1.2187,1.6381,2.85
1l4j,0.2287,0.2281,0.289,0.2807,0.0356,0.0082,2.6141,1.5182,1.85
1l6b,0.2773,0.2422,0.2865,0.2649,0.0283,0.0101,2.2405,1.9427,1.5
1lc4,0.2122,0.1865,0.2537,0.2287,0.0088,0.0058,1.0204,1.0443,2.54
1lnt,0.214,0.2042,0.2395,0.2414,0.0636,0.0222,1.7498,2.26,1.7
1m69,0.2333,0.2132,0.2312,0.2215,0.0371,0.0196,5.2528,2.5125,1.1
1mlx,0.1818,0.1664,0.1877,0.1915,0.0341,0.0169,3.3669,1.8878,1.25
1msy,0.1758,0.1631,0.194,0.1825,0.0122,0.0127,2.0029,1.6166,1.41
1ngt,0.2198,0.2133,0.2915,0.2859,0.0102,0.0071,1.294,1.3705,2.04
1nlc,0.2275,0.1934,0.2344,0.2507,0.0616,0.028,1.6428,1.931,1.85
1nr8,0.1886,0.1683,0.2125,0.2031,0.025,0.0152,2.9994,2.3152,1.66
1nta,0.3121,0.2515,0.3575,0.3226,0.0256,0.0085,1.6967,1.6893,2.9
1nuj,0.2789,0.218,0.291,0.2562,0.0181,0.0106,1.1709,1.6437,1.8
1nuv,0.2054,0.1955,0.2126,0.2265,0.0508,0.0109,1.1917,1.2439,1.81
1nvy,0.2436,0.2467,0.2822,0.2857,0.0823,0.0179,2.4011,1.4475,1.5
1nzg,0.1866,0.1734,0.2247,0.2303,0.0357,0.0169,1.8957,1.8892,1.6
1o0k,0.224,0.1867,0.2382,0.2124,0.0462,0.0348,2.7601,1.8976,1.17
1p4y,0.2361,0.2317,0.2799,0.2828,0.0278,0.0066,1.1979,1.0657,1.7
1p54,0.2232,0.2214,0.2463,0.2506,0.0332,0.0089,1.4007,1.4462,1.9
1pjg,0.1757,0.1593,0.1718,0.1702,0.1031,0.0599,1.783,1.7542,1.15
1pjo,0.1724,0.1569,0.1897,0.1844,0.0436,0.0192,2.6923,1.7108,1.1
1puy,0.2284,0.2165,0.2598,0.2591,0.0515,0.0128,2.7122,2.2448,1.5
1pwf,0.1758,0.1636,0.1914,0.189,0.0279,0.0213,2.769,2.1307,1.16
1q93,0.2196,0.2077,0.256,0.2504,0.0084,0.0081,0.8527,1.3217,2.25
1q96,0.1927,0.1863,0.2317,0.2274,0.0093,0.0086,0.8874,1.2707,1.75
1q9a,0.182,0.1685,0.1866,0.1932,0.0099,0.0141,1.6246,1.5896,1.04
1qda,0.2091,0.186,0.215,0.2201,0.0296,0.0189,2.9532,2.5279,1.6
1r3g,0.1847,0.1794,0.2176,0.2209,0.0297,0.0199,2.4026,1.9696,1.16
1s23,0.215,0.2125,0.283,0.2816,0.0172,0.01,2.5258,1.7934,1.6
1s2r,0.2036,0.1983,0.238,0.2346,0.0123,0.0136,1.1966,1.5584,1.53
1sa9,0.2573,0.2278,0.2669,0.2511,0.0086,0.0067,1.0334,1.2344,2.86
1t0d,0.2069,0.1986,0.2633,0.2601,0.0089,0.0056,1.1791,1.1631,2.2
1t0e,0.2115,0.2043,0.2396,0.2333,0.0236,0.0105,2.1843,1.503,1.7
1ub8,0.1966,0.185,0.2304,0.2271,0.0093,0.0132,13.38,11.2197,1.6
1ue2,0.2126,0.1927,0.2396,0.2276,0.0091,0.0135,5.1441,5.1056,1.4
1vro,0.1578,0.1413,0.1628,0.1492,0.0337,0.0272,2.7097,2.3062,1.1
1vzk,0.2263,0.212,0.2348,0.247,0.0137,0.0106,2.1894,2.0505,1.77
1woe,0.1798,0.1552,0.195,0.1811,0.0091,0.0113,0.9141,1.4592,1.5
1x9c,0.2536,0.2307,0.2699,0.2566,0.0096,0.0102,6.545,2.5858,2.19
1xcs,0.2227,0.2133,0.2832,0.2758,0.0264,0.0121,2.0297,1.5076,1.4
1xjr,0.2374,0.1998,0.2526,0.2256,0.0117,0.0138,1.9881,2.2803,2.7
1y26,0.2994,0.2582,0.3459,0.326,0.0196,0.007,1.8169,1.4691,2.1
1y27,0.2802,0.2326,0.2993,0.2702,0.013,0.0072,2.2345,1.4379,2.4
1y3o,0.2278,0.208,0.2898,0.2876,0.0098,0.0066,1.1403,1.4716,2.7
1y3s,0.2414,0.216,0.2647,0.2695,0.0609,0.0129,1.1973,1.7701,2.25
1y6t,0.2303,0.2159,0.2595,0.2607,0.0578,0.008,1.8391,1.2311,2.6
1y7f,0.1693,0.1605,0.2045,0.2122,0.0173,0.0111,1.8346,1.8187,1.6
1y84,0.1654,0.1582,0.1881,0.1946,0.0182,0.0127,1.8651,1.6525,1.6
1y86,0.1714,0.1625,0.1909,0.1955,0.0112,0.0093,1.35,1.4151,1.7
1y8l,0.1719,0.1648,0.1969,0.1987,0.0578,0.013,1.6497,1.7802,1.5
1y8v,0.1764,0.1695,0.2131,0.2193,0.0131,0.0137,1.6316,1.8863,1.5
1y99,0.2228,0.2113,0.235,0.2477,0.0633,0.0068,1.5295,1.0458,2.4
1y9f,0.16,0.1516,0.1793,0.1837,0.0127,0.0109,1.6801,1.7432,1.6
1y9s,0.1599,0.1521,0.206,0.2066,0.014,0.0127,1.6261,1.7747,1.55
1yb9,0.1598,0.1484,0.186,0.1925,0.0127,0.0113,1.6156,1.9348,1.65
1ybc,0.1697,0.1595,0.2135,0.2226,0.0199,0.0087,1.6007,1.5661,1.8
1yls,0.2433,0.2146,0.2635,0.2463,0.0216,0.0087,2.025,2.1312,3.0
1yxp,0.2738,0.2481,0.2918,0.2866,0.0096,0.0075,1.1972,1.6772,2.4
1z43,0.2642,0.2541,0.3007,0.3223,0.0211,0.0071,3.2305,1.8234,2.6
1z7f,0.2577,0.2461,0.2722,0.2716,0.0093,0.0078,0.8207,1.1986,2.1
1z7i,0.1885,0.1702,0.2222,0.1984,0.0256,0.0194,3.4618,2.2743,1.28
1zci,0.2415,0.2266,0.2465,0.2545,0.0184,0.0111,1.2206,1.6275,1.65
1zex,0.2564,0.2506,0.2552,0.2601,0.0093,0.0081,1.224,1.4367,1.65
1zey,0.2724,0.2804,0.3207,0.3267,0.0456,0.0075,2.8015,2.0471,1.7
1zf0,0.2524,0.2396,0.2727,0.2684,0.03,0.0079,0.9451,1.2566,1.5
1zf1,0.2381,0.2349,0.2567,0.2559,0.0158,0.0119,2.0559,1.5606,1.35
1zf3,0.2085,0.2104,0.2322,0.2426,0.0286,0.0076,1.6025,1.2169,1.84
1zf4,0.2375,0.2372,0.2806,0.2762,0.0118,0.0077,1.7569,1.4432,1.65
1zf6,0.2588,0.2574,0.3051,0.2989,0.0655,0.01,2.7344,2.2587,1.5
1zf7,0.2736,0.2655,0.2808,0.2754,0.0164,0.01,0.9068,1.3339,1.05
1zf8,0.2202,0.2243,0.264,0.2638,0.0205,0.0102,2.0343,1.4579,1.48
1zf9,0.2394,0.2465,0.2663,0.2717,0.0364,0.0112,2.8461,1.6055,1.38
1zfa,0.2492,0.2659,0.3033,0.3136,0.0766,0.0114,3.2462,2.5229,1.56
1zfb,0.2325,0.2315,0.2834,0.2895,0.066,0.0065,1.1235,1.1156,1.65
1zfg,0.3429,0.3294,0.3516,0.3611,0.0139,0.005,1.789,1.1948,1.75
1zft,0.2403,0.2104,0.2403,0.2224,0.0105,0.0118,6.5642,4.3383,2.33
1zfv,0.2344,0.216,0.2388,0.2378,0.0083,0.0078,4.7522,1.8325,2.4
1zfx,0.2491,0.2249,0.2508,0.2496,0.0091,0.0092,6.5214,3.2257,2.38
1zph,0.2468,0.2491,0.3246,0.3079,0.0323,0.0066,2.3578,1.5195,1.8
1zpi,0.2286,0.2291,0.2736,0.2655,0.0301,0.0098,2.4962,2.3564,1.6
1zz5,0.2321,0.2018,0.2771,0.2662,0.0187,0.0077,1.378,1.6056,3.0
2a04,0.2522,0.2286,0.3025,0.285,0.0184,0.0079,1.2024,1.1986,2.95
2a43,0.1837,0.1705,0.2058,0.1965,0.0454,0.0253,2.0502,1.75,1.34
2b0k,0.2292,0.2127,0.2854,0.254,0.0098,0.0076,0.9027,1.1637,1.64
2b1d,0.262,0.2453,0.2963,0.2884,0.016,0.0059,1.9613,1.4906,2.5
2b2b,0.2137,0.2283,0.2631,0.2733,0.0514,0.0179,3.0726,1.7446,1.5
2b3e,0.2067,0.1989,0.2394,0.2211,0.0124,0.0119,2.1951,1.6743,1.36
2b57,0.2297,0.2166,0.288,0.2908,0.0081,0.0078,10.7465,7.8671,2.15
2bcy,0.2493,0.2318,0.2847,0.2728,0.0119,0.0088,4.8242,2.2471,2.7
2bcz,0.2574,0.2307,0.2846,0.2705,0.0114,0.0106,6.5903,4.3829,2.4
2d2k,0.2484,0.2363,0.2528,0.2514,0.0106,0.0082,6.4118,2.2517,2.65
2d2l,0.2383,0.2123,0.235,0.2278,0.0106,0.0105,7.9588,3.89,2.5
2ees,0.1975,0.192,0.2326,0.2309,0.0211,0.0115,12.1747,9.3877,1.75
2eet,0.2075,0.1923,0.2424,0.2417,0.0076,0.0103,12.0857,9.0484,1.95
2eeu,0.229,0.2157,0.273,0.2649,0.0078,0.0089,12.0945,9.1449,1.95
2eev,0.2066,0.2014,0.2521,0.2544,0.011,0.0083,12.1227,9.0157,1.95
2eew,0.2415,0.2269,0.2748,0.2703,0.0075,0.0079,9.9997,7.2326,2.25
2esj,0.221,0.1999,0.2752,0.2688,0.0172,0.0077,2.0527,1.656,2.2
2et4,0.2127,0.1981,0.2615,0.2562,0.017,0.0076,1.1815,1.3624,2.4
2et5,0.2282,0.2125,0.2549,0.2548,0.0182,0.0075,1.5322,1.2543,2.2
2et8,0.253,0.2254,0.2838,0.2744,0.0104,0.0075,1.1516,1.2378,2.5
2fcx,0.2646,0.2371,0.2809,0.2767,0.0139,0.0111,1.2515,1.9465,2.0
2fcy,0.2323,0.2051,0.2412,0.2423,0.0359,0.0091,1.2808,1.6205,2.2
2fcz,0.2363,0.2147,0.2481,0.25,0.029,0.0088,1.2231,1.492,2.01
2fd0,0.2463,0.2216,0.2471,0.251,0.0425,0.0159,1.8392,2.2912,1.8
2fgp,0.2459,0.2191,0.2505,0.2438,0.0099,0.009,4.8032,2.8465,2.4
2fii,0.2206,0.2,0.2356,0.2259,0.0341,0.0154,3.0456,2.0077,1.24
2fij,0.2309,0.2024,0.2367,0.231,0.022,0.022,14.0816,12.7384,1.19
2fil,0.3096,0.3066,0.3193,0.3424,0.0214,0.0087,15.1434,5.1697,1.69
2fqn,0.2681,0.2553,0.2982,0.2965,0.0098,0.0054,9.2591,1.5189,2.3
2g3s,0.225,0.2196,0.2798,0.2806,0.008,0.0067,0.8759,1.0183,1.499
2g9c,0.2008,0.194,0.2326,0.2242,0.0173,0.0131,12.1515,9.359,1.7
2gis,0.2421,0.2096,0.2635,0.2488,0.0251,0.0078,1.3562,1.5683,2.9
2gq4,0.3899,0.2959,0.4078,0.331,0.0416,0.0219,2.1251,2.1979,1.35
2gq5,0.3916,0.2981,0.4231,0.3444,0.0424,0.0188,2.7672,2.211,1.4
2gq6,0.4063,0.312,0.4024,0.327,0.0404,0.022,2.3834,2.3168,1.3
2gq7,0.3773,0.2761,0.4473,0.3506,0.071,0.0186,2.5273,2.0734,1.6
2grb,0.2682,0.2207,0.302,0.2715,0.0693,0.0292,1.6077,2.8398,1.4
2gvr,0.2237,0.2034,0.2691,0.241,0.0091,0.0094,1.0009,1.4993,1.65
2gw0,0.1673,0.1607,0.2135,0.1971,0.0499,0.0306,1.7566,1.4468,1.55
2gwq,0.2284,0.2211,0.2853,0.2576,0.0566,0.0246,0.6121,1.2509,2.0
2gyx,0.2248,0.2197,0.3081,0.2742,0.0135,0.0088,1.795,1.5866,1.86
2hbn,0.2564,0.241,0.2706,0.2504,0.0484,0.0193,1.8296,1.4026,1.55
2hc7,0.1666,0.1574,0.1854,0.1794,0.0198,0.0199,2.3718,2.1207,1.4
2hoj,0.2266,0.2084,0.2564,0.2458,0.0245,0.0085,1.5351,1.443,2.5
2hol,0.2012,0.1968,0.2415,0.24,0.0596,0.0098,1.3967,1.1886,2.9
2hom,0.2029,0.1804,0.2628,0.2594,0.0195,0.0062,1.3722,1.3129,2.89
2hoo,0.2129,0.1965,0.2714,0.2672,0.0274,0.006,1.4432,1.2125,3.0
2i2i,0.2163,0.2092,0.2939,0.2698,0.012,0.0088,2.117,1.791,1.63
2i5a,0.2025,0.1971,0.2754,0.2566,0.0144,0.0085,1.9489,1.5818,1.65
2jja,0.1968,0.1795,0.2093,0.2173,0.0521,0.0333,2.2153,3.6441,1.3
2nlm,0.2499,0.2382,0.3212,0.2875,0.0104,0.0076,1.4656,1.3664,2.05
2npy,0.2007,0.1856,0.2183,0.2267,0.0086,0.0074,4.7109,1.7168,2.65
2o4f,0.2083,0.2097,0.2581,0.2543,0.0286,0.0197,1.6186,1.34,1.5
2obz,0.2268,0.214,0.2348,0.2281,0.0085,0.0182,1.6164,2.1079,1.1
2oe5,0.2191,0.2097,0.2207,0.2409,0.0276,0.0098,1.7742,1.4415,1.51
2oe8,0.2258,0.2073,0.2281,0.2543,0.0159,0.0082,1.5928,1.3825,1.8
2oeu,0.2005,0.1807,0.2302,0.2196,0.0304,0.0087,1.8941,1.5197,2.0
2oij,0.2727,0.241,0.2777,0.2776,0.0077,0.0107,0.996,1.5778,2.31
2oiy,0.2513,0.2331,0.2587,0.2659,0.0319,0.0092,1.1335,1.4522,1.6
2orf,0.2288,0.2236,0.2549,0.2577,0.0407,0.0082,1.6677,1.5073,1.85
2orh,0.2238,0.2221,0.2739,0.2754,0.0165,0.0079,1.0263,1.1106,1.9
2oue,0.2629,0.2317,0.2694,0.2555,0.0101,0.0101,1.5299,1.6371,2.05
2p7d,0.2277,0.2138,0.2325,0.2308,0.0105,0.0079,6.4784,2.5199,2.25
2p7e,0.2568,0.2481,0.2616,0.2605,0.0183,0.0089,6.5333,2.5989,2.05
2p7f,0.2215,0.2119,0.2418,0.2459,0.0105,0.0076,6.5525,2.9627,2.35
2pkv,0.1503,0.1393,0.139,0.1556,0.0119,0.0123,1.8776,1.4778,1.6
2pl4,0.1794,0.1671,0.1864,0.2073,0.0105,0.0103,1.7843,1.6794,1.65
2plb,0.2212,0.2067,0.2354,0.2669,0.0184,0.0088,3.2615,1.4746,1.6
2pn4,0.2777,0.2544,0.3395,0.3292,0.0163,0.0066,1.9768,1.4114,2.32
2pwt,0.2095,0.1907,0.2313,0.2218,0.0306,0.0111,1.7837,1.6408,1.8
2q1o,0.1775,0.1696,0.1846,0.1827,0.0168,0.0148,2.0844,1.7394,1.1
2q1r,0.2028,0.1955,0.2104,0.2078,0.0436,0.0285,2.0613,1.616,1.12
2qef,0.2221,0.2105,0.2534,0.2557,0.0165,0.0116,2.412,2.6204,1.6
2qeg,0.2436,0.2235,0.2693,0.2638,0.0139,0.0123,2.1158,2.5136,1.6
2r1s,0.1485,0.131,0.1724,0.1636,0.0432,0.0207,1.2736,1.8034,1.4
2r20,0.175,0.1559,0.1868,0.1803,0.0327,0.0216,1.2846,1.877,1.3
2r21,0.1629,0.1451,0.1882,0.1753,0.0423,0.0159,1.2596,1.8589,1.59
2r22,0.1716,0.1576,0.1915,0.1858,0.0338,0.0147,0.7711,1.5677,1.4
2v7r,0.2129,0.2028,0.2066,0.2209,0.0109,0.0216,1.6066,1.5068,1.2
2vuq,0.2216,0.213,0.2208,0.2267,0.0098,0.0206,1.532,1.4573,1.18
2xc6,0.2783,0.2478,0.3025,0.2768,0.0343,0.0226,4.359,3.0453,1.83
2xnw,0.2121,0.2076,0.244,0.2421,0.0124,0.0112,1.8189,1.6822,1.5
2xo0,0.2119,0.2107,0.2599,0.2635,0.0147,0.0095,1.9753,1.5271,1.7
2ydh,0.2697,0.247,0.3218,0.3288,0.0205,0.0059,1.8867,1.3131,2.9
2ygh,0.1976,0.1949,0.2544,0.2508,0.0168,0.0072,1.8948,1.3952,2.6
2zy6,0.2017,0.1865,0.2312,0.2272,0.0235,0.0112,1.1509,1.4116,1.75
397d,0.1636,0.1542,0.1871,0.1825,0.0191,0.0142,1.7232,1.421,1.3
398d,0.2176,0.2156,0.2767,0.2593,0.0128,0.0084,1.5945,1.4103,1.94
399d,0.1635,0.1464,0.1992,0.1842,0.0106,0.0096,1.5144,1.492,1.9
3ajk,0.1991,0.1997,0.2508,0.2506,0.0281,0.0093,3.0985,2.4661,1.95
3b31,0.2318,0.2074,0.2601,0.2526,0.0296,0.0079,4.3567,3.6473,2.4
3b58,0.2434,0.2295,0.2618,0.2603,0.0101,0.007,6.4013,1.7881,2.65
3b5a,0.2179,0.2059,0.2347,0.2389,0.0115,0.008,6.4993,2.0545,2.35
3b5f,0.231,0.215,0.2543,0.2559,0.0109,0.008,6.5569,1.8805,2.7
3b5s,0.2309,0.2197,0.2426,0.2434,0.0129,0.0092,6.5826,2.1494,2.25
3b91,0.2225,0.204,0.2488,0.2491,0.0115,0.0074,6.5866,1.9191,2.75
3bbi,0.2278,0.215,0.2358,0.2341,0.0112,0.0088,6.5539,2.1769,2.35
3bbk,0.2059,0.1932,0.2244,0.2271,0.0118,0.0078,7.9238,3.0564,2.75
3bbm,0.2093,0.1941,0.2235,0.2175,0.0125,0.0079,7.9178,1.8826,2.65
3bnl,0.2141,0.2168,0.2463,0.2395,0.0109,0.0066,14.5573,2.2837,2.602
3bnn,0.232,0.2212,0.2594,0.2629,0.0079,0.0068,0.9822,1.1679,2.0
3bno,0.2227,0.2023,0.2598,0.2528,0.01,0.0079,1.2262,1.4599,2.35
3bnp,0.232,0.2229,0.2604,0.2616,0.0077,0.0067,0.9873,1.2567,2.7
3bnq,0.2312,0.2092,0.2594,0.2511,0.0155,0.0103,1.3139,1.5319,2.0
3bnr,0.2097,0.1962,0.2433,0.2394,0.0167,0.0079,1.3395,1.4364,2.1
3bns,0.2419,0.2295,0.2561,0.255,0.0142,0.008,1.178,1.3,1.9
3bse,0.2063,0.1841,0.216,0.2196,0.0342,0.0125,1.2382,1.5551,1.6
3c3z,0.214,0.1953,0.2211,0.2252,0.0112,0.0161,1.4869,2.0248,1.5
3c44,0.2222,0.2009,0.2388,0.241,0.0083,0.008,1.0733,1.4021,2.0
3c5d,0.2316,0.1998,0.2401,0.2375,0.0212,0.0137,1.8997,2.2567,1.8
3c7r,0.243,0.2121,0.2501,0.2529,0.0118,0.0116,1.4074,1.9667,1.7
3cdm,0.2187,0.2235,0.2837,0.2742,0.0302,0.0109,2.8341,1.4896,2.1
3cgp,0.1999,0.1862,0.2283,0.2162,0.0106,0.0155,1.0822,1.6245,1.57
3cgs,0.2246,0.2055,0.2471,0.2435,0.0173,0.0114,1.252,1.5421,1.65
3cjz,0.2447,0.2174,0.2903,0.2921,0.0152,0.0085,1.6152,1.521,1.8
3cqs,0.2192,0.2046,0.2523,0.2462,0.0107,0.008,4.7707,1.6696,2.8
3cr1,0.2205,0.207,0.2514,0.2491,0.012,0.0089,1.6418,1.6698,2.25
3dvv,0.2644,0.2403,0.2706,0.2867,0.015,0.0075,1.3484,1.505,2.0
3dvz,0.1916,0.1743,0.1911,0.1836,0.0074,0.0131,0.9356,1.646,1.0
3dw6,0.1575,0.1451,0.1719,0.168,0.0175,0.0116,1.3268,1.7846,1.0
3dw7,0.201,0.1827,0.2093,0.2012,0.0179,0.0152,1.2087,1.9388,1.0
3e5c,0.2093,0.1883,0.2134,0.2146,0.0117,0.0077,1.6848,1.3718,2.25
3e5f,0.2171,0.1986,0.2588,0.2555,0.0127,0.0076,1.3775,1.4372,2.7
3ey2,0.1754,0.1555,0.1831,0.1696,0.0197,0.0153,2.154,1.8241,1.04
3ey3,0.1913,0.1759,0.2098,0.1977,0.0266,0.0171,2.7863,2.3411,1.25
3far,0.2486,0.2181,0.3077,0.308,0.0123,0.0083,0.957,1.6421,2.4
3fl6,0.1827,0.1774,0.2093,0.2117,0.0135,0.0174,17.5748,12.7618,1.17
3fo4,0.2276,0.2024,0.2528,0.2378,0.0085,0.0103,12.4423,9.5611,1.9
3fo6,0.2293,0.2149,0.2556,0.2629,0.0082,0.0084,10.5736,8.0146,1.9
3ft6,0.2273,0.2277,0.2447,0.2533,0.0137,0.0126,16.9322,6.7324,1.12
3ftm,0.2157,0.2017,0.268,0.2736,0.008,0.0072,1.0412,1.2752,2.7
3g4m,0.2335,0.2209,0.2748,0.2798,0.0073,0.0083,11.6075,8.4366,2.4
3gao,0.2088,0.1862,0.2379,0.2295,0.0079,0.0095,12.5617,9.706,1.9
3ger,0.2201,0.2021,0.2323,0.2203,0.0083,0.0127,12.089,9.2281,1.7
3ges,0.2386,0.2269,0.2726,0.2712,0.0084,0.0074,10.0057,7.4074,2.15
3gm7,0.3296,0.3083,0.3489,0.3541,0.0097,0.01,3.0217,1.5738,1.58
3gog,0.217,0.1942,0.2449,0.2434,0.009,0.0084,10.1474,7.5555,2.1
3gsk,0.2219,0.2092,0.2372,0.2271,0.0178,0.0181,3.0008,2.7716,1.6
3gvn,0.1984,0.1978,0.2017,0.2171,0.037,0.0188,2.6889,1.5013,1.2
3gx2,0.2494,0.2295,0.3207,0.3069,0.0094,0.0068,2.3585,1.3406,2.9
3gx3,0.2317,0.2282,0.2914,0.2893,0.0141,0.0073,2.7348,1.543,2.7
3gx5,0.2396,0.2169,0.2837,0.2721,0.0315,0.0077,1.2865,1.4008,2.4019999999999997
3gx7,0.2491,0.2303,0.2922,0.2834,0.0068,0.0063,2.0872,1.2694,2.95
3i5l,0.1321,0.1284,0.1507,0.1496,0.0668,0.0212,2.3148,1.9162,1.18
3igt,0.2277,0.2346,0.2647,0.2757,0.0057,0.0058,0.8376,1.001,1.9
3iqn,0.2654,0.2434,0.2876,0.2769,0.0096,0.0064,1.39,1.4268,2.7
3iqp,0.2596,0.2333,0.2742,0.2749,0.0356,0.0089,1.4563,1.494,2.9
3iqr,0.2478,0.2282,0.2927,0.2902,0.0254,0.0085,1.4604,1.5478,2.55
3k1v,0.2197,0.2089,0.2491,0.2435,0.0254,0.0085,1.3834,1.3277,2.2
3la5,0.1773,0.1644,0.1977,0.1844,0.0518,0.0107,1.2062,1.3889,1.7
3lpv,0.1678,0.1646,0.1938,0.1914,0.0365,0.0118,1.7977,1.5003,1.77
3mja,0.291,0.2705,0.3028,0.2877,0.0188,0.0104,1.0883,2.074,2.8
3nd3,0.2527,0.2283,0.286,0.273,0.0133,0.0096,1.1328,1.3827,1.37
3nd4,0.1693,0.1654,0.2157,0.2178,0.0361,0.0136,1.163,1.3357,1.524
3nj7,0.2176,0.211,0.2477,0.2445,0.01,0.0096,1.2937,1.5646,1.9040000000000001
3nkb,0.2201,0.2068,0.2414,0.2345,0.0929,0.0119,1.1079,1.3473,1.916
3nyp,0.1926,0.1777,0.2004,0.1942,0.0488,0.0397,2.0637,2.074,1.179
3nz7,0.1775,0.1644,0.1782,0.1758,0.0414,0.0305,1.7837,1.727,1.1
3ok2,0.2273,0.2133,0.2363,0.2802,0.0219,0.0096,2.625,1.8133,1.963
3opi,0.2018,0.1963,0.2087,0.2079,0.0303,0.0211,2.5852,2.5248,1.1
3ot0,0.1589,0.1531,0.1967,0.1885,0.0193,0.0117,2.2641,2.3027,1.7004
3oz3,0.1848,0.1819,0.2,0.191,0.0238,0.0165,2.2417,2.486,1.57
3oz4,0.1955,0.1923,0.2277,0.2244,0.0347,0.0185,2.9195,3.4269,1.59
3oz5,0.1699,0.1635,0.1915,0.2075,0.0226,0.0188,2.3319,2.4287,1.36
3p4a,0.2086,0.1974,0.2387,0.2257,0.0726,0.0309,4.229,3.9865,1.2
3p4b,0.2472,0.2336,0.2783,0.2758,0.0287,0.0183,2.5728,2.9647,1.45
3p4c,0.2248,0.2079,0.2493,0.2364,0.026,0.0199,3.2363,3.0716,1.15
3p59,0.3204,0.3226,0.3507,0.3667,0.0289,0.007,9.3733,6.8482,2.1793
3pa0,0.2185,0.2012,0.2069,0.2136,0.0253,0.0199,2.4455,2.6229,1.6
3q50,0.2082,0.1877,0.248,0.236,0.0098,0.0111,1.7575,1.8064,2.75
3q61,0.1862,0.1842,0.2118,0.2037,0.0331,0.0255,2.1586,1.7876,1.56
3qf8,0.2043,0.1939,0.2383,0.2371,0.0484,0.0121,3.9648,2.3116,1.73
3qrn,0.1479,0.1448,0.1528,0.1567,0.025,0.0199,4.9735,4.1459,1.1
3qxr,0.1646,0.1721,0.2116,0.2046,0.0766,0.0269,2.9341,1.8714,1.62
3r1d,0.2268,0.2202,0.2593,0.2526,0.0242,0.0132,2.3456,2.1673,1.45
